/* isbn|author|title|price|subject */
439139597|J. K. Rowling|Harry Potter and the goblet of fire|25.95|CHILDREN
439064864|J. K. Rowling|Harry Potter and the chambers of secrets|17.95|CHILDREN
439136350|J. K. Rowling|Harry Potter and the chamber of secrets|19.95|CHILDREN
978140870|J. K. Rowling|The Cuckoo's Calling|19.95|CRIMINAL
345350499|Marion Zimmer Bradley|The mists of avalon|12.95|FICTION
395851580|James Marshall|George and Martha the complete stories of two best friends|25|CHILDREN
375810609|Jean DE Brunhoff|Bonjour Babar|29.95|CHILDREN
345337662|Anne Rice|Interview with a vampire|6.99|FICTION
345377648|Anne Rice|Lasher|14|FICTION
345313860|Anne Rice|The vampire lestat|6.99|FICTION
034538475X|Anne Rice|The tale of the body thief|6.99|FICTION
201612585|Rajshekhar Sunderraman|Oracle8 Programming a primer|29.99|COMPUTER SCIENCE
910146691|Allen DE Hart|North Carolina Hiking Trails|14.95|GENERAL
887251714|Jim Cottrell|Skiing Everyone|10|GENERAL
30615372|Colin M. Turnbull|The Mbuti Pygmies|15|GENERAL
201634422|S Keshav|An Engineering Approach to computer networks|49.95|COMPUTER SCIENCE
201615711|Lincoln D Stein|Network Programming with Perl|39.95|COMPUTER SCIENCE
596000278|Larry Wall Tom Christiansen Jon Orwant|Programming Perl|39.96|COMPUTER SCIENCE
1565922840|Randal Schwartz Tom Christiansen Larry Wall|Learning Perl|23.96|COMPUTER SCIENCE
1930110006|David Cross|Data Munging with Perl|29.56|COMPUTER SCIENCE
1565926099|David Blank-Edelman|Perl for System Administration|27.96|COMPUTER SCIENCE
345438310|Robert K Massie|Nicholas and Alexandra|14.4|GENERAL
345298063|Robert K Massie|Peter the Great : His Life and World|11.2|GENERAL
674003306|Robert Service|Lenin: A Biography|28|GENERAL
60959290|Colin Thubron|Among the Russians|11.2|GENERAL
312135033|Carolly Erickson|Great Catherine|13.56|GENERAL
672319241|Sterling Hughes Andrei Zmievski|PHP Developers Cookbook|31.99|COMPUTER SCIENCE
1861003730|Chris Lea Wankyu Choi Allan Kent Ganesh Prasad Chris Ullman|Beginning PHP4|31.99|COMPUTER SCIENCE
764547161|Tim Converse Joyce Park|PHP4 Bible|27.99|COMPUTER SCIENCE
72127317|Blake Schwendiman|PHP 4 Developers Guide|47.99|COMPUTER SCIENCE
1565927699|Rasmus Lerdorf|PHP Pocket Reference|8.95|COMPUTER SCIENCE
534368018|Bronson, Gary J.|A First Book of C++: From Here to There|60.95|COMPUTER SCIENCE
1584500492|DeLoura, Mark|Game Programming Gems|69.95|COMPUTER SCIENCE
076454621X|Murdock, Kelly L.|3D Studio Max R3|49.99|COMPUTER SCIENCE
136603904|Irvine, Kip R.|Assembly Language for Intel-Based Computers|72.95|COMPUTER SCIENCE
805317554|Elmasri and Navathe|Fundamentals of Database Systems|75.95|COMPUTER SCIENCE
471105597|Halliday, Resnick, and Walker|Fundamentals of Physics Extended|99.95|SCIENCE
671032658|King, Stephen|Green Mile, The|7.99|FICTION
935112510|Clarke, Greg|Golf Rules Illustrated|19.95|SPORTS
811826848|The Beatles|The Beatles Anthology|59.95|GENERAL
039914563X|Clancy, Tom|The Bear and the Dragon|28.95|FICTION
316769487|Salinger, J.D.|Catcher in the Rye|5.99|FICTION
446310783|Lee, Harper|To Kill a Mockingbird|6.99|FICTION
684801523|Fitzgerald, F. Scott|Great Gatsby|11.95|FICTION
399501487|Golding, William Gerald|Lord of the Flies: A Novel|6.95|FICTION
345419758|Mass Market|Air Force One Has Landed|5.99|FICTION
1557044287|Ridley Scott|Gladiator|26.36|FICTION
553575538|Kay Hooper|Stealing Shadows|6.5|FICTION
743215052|Le Carre, John|The Constant Gardener|28|Thrillers
671047310|Vince Flynn|The Third Option|24.95|FICTION
312965095|Kathleen Kane|This Time for Keeps|5.99|FICTION
505523078|Ann Lawrence|Virtual Heaven|5.99|FICTION
821762559|Quinn Taylor Evans|Daughter of Camelot|5.99|FICTION
517707950|Esquivel, Laura|The Law of Love|79.98|Romance
553577476|Leslie Lafoy|Lady Reckless|5.5|FICTION
531164497|Ann O. Squire|Spiders of North America|6.95|SCIENCE
1552047210|James Herriot|James Herriots Favorite Dog Stories|29.99|FICTION
1581950098|Kurt Johnson, Steven L. Coates|Nabokovs Blues : The Scientific Odyssey of a Literary Genius|27|FICTION
689813813|Patricia Mullins|One Horse Waiting for Me|16|FICTION
738204374|Steven M. Wise|Rattling the Cage: Toward Legal Rights for Animals|17.5|FICTION
672314800|Dave Taylor and James C. Armstrong|Sam's Teach Yourself UNIX in 24 Hours, Second Edition|19.99|COMPUTER SCIENCE
137566107|Peter Abel|IBM PC Assembly Language and Programming, Fourth Edition|63.95|COMPUTER SCIENCE
020165783X|Martin Fowler with Kendall Scott|UML Distilled, Second Edition|29.95|COMPUTER SCIENCE
70121430|Thomas H. Cormen, Charles E. Leiserson, and Ronald L. Rivest| Introduction to Algorithms|69.95|COMPUTER SCIENCE
134897250| Bernd Bruegge and Alan H. Dutoit|Object Oriented Software Engineering, Conquering Complex and Changing Systems|45|COMPUTER SCIENCE
042510107X| Tom Clancy|Red Storm Rising|7.99|FICTION
425133540| Tom Clancy|The Sum of All Fears|7.99|FICTION
425143325| Tom Clancy|Without Remorse|7.99|FICTION
425147584| Tom Clancy|Debt Of Honor|7.99|FICTION
870212850| Tom Clancy|The Hunt For Red October|27.95|FICTION
345384466| Anne Rice|The Witching Hour|7.99|FICTION
812520610| Brian Lumley|Blood Brothers|7.99|FICTION
812520629| Brian Lumley|The Last Aerie|7.99|FICTION
385479565|Richard Preston|The Hot Zone|7.99|SCIENCE
1864364432|John Ashton|In Six Days : Why 50 Scientists Choose to Believe in Creation|14.95|SCIENCE
849323754|Hooman H. Rashidi|Bioinformatics Basics Applications in Biological Science and Medicine|69.95|SCIENCE
688069711|Gary Selden|The Body Electric: Electromagnetism and the Foundation of Life|13|SCIENCE
932813739|David Hatcher Childress|Technology of the Gods : The Incredible Sciences of the Ancients|16.95|SCIENCE
805057579|Thomas A. Bass|The Predictors|15|SCIENCE
688160999|Janine M. Benyus|Biomimicry : Innovation Inspired by Nature|14|SCIENCE
618056777|Jane Goodall|Through a Window|14|SCIENCE
71354190|Peter Lane Taylor|Science at the Extreme: Scientists on the Cutting Edge of Discovery|29.95|SCIENCE
262181916|Santiago. Ramon Y Cajal|Advice for a Young Investigator|21.23|SCIENCE
935039031|Michael Brown|Streetwise Manhattan|5.95|GENERAL
864426429|Kim Grant|Lonely Planet Boston|15.99|GENERAL
1566912296|Rick Steves|Rick Steve Italy 2001|17.95|GENERAL
961549890|Lenore W. Horowitz|Kauai Underground Guide|12.95|GENERAL
966625307|Toni Polancy|So You Want to Live in Hawaii|19.95|GENERAL
789404257|Various|Eyewitness Travel Guides: Italy|29.95|GENERAL
767903854|Bill Bryson|In a Sunburned Country|25|GENERAL
120848104|Les Beletsky|Costa Rica: The Ecotraveller Wildlife Guide|30|GENERAL
684869519|Wendy Orange|Coming Home To Jerusalem: A Personal Journey|25|GENERAL
449911942|John Updike|Rabbit at Rest|12.95|FICTION
